id,doc_id,source,chunk_index,text_preview
0,C:\Users\sandesh lavshetty\OneDrive\Desktop\clg\iiitn_1st_yr\5th_sem\NLP\nlp_proj\src\Rag_service\data\Bioinformatics Event.pdf,C:\Users\sandesh lavshetty\OneDrive\Desktop\clg\iiitn_1st_yr\5th_sem\NLP\nlp_proj\src\Rag_service\data\Bioinformatics Event.pdf,0,"Bioinformatics  -  Code  of   Gene-iuses   Event  Objective   The  objective  of  this  competition  is  to  engage  participants  in  a  dynamic,  head-to-head   bioinformatics   challenge   that   c"
1,C:\Users\sandesh lavshetty\OneDrive\Desktop\clg\iiitn_1st_yr\5th_sem\NLP\nlp_proj\src\Rag_service\data\Bioinformatics Event.pdf,C:\Users\sandesh lavshetty\OneDrive\Desktop\clg\iiitn_1st_yr\5th_sem\NLP\nlp_proj\src\Rag_service\data\Bioinformatics Event.pdf,1,Bioinformatics   and   will   try   to   get   the   best   models   on   the   table   for   the   judges   to   judge   their   work.   The  event  will:   ●  Promote  Bioinformatics  +  ML  among  
2,C:\Users\sandesh lavshetty\OneDrive\Desktop\clg\iiitn_1st_yr\5th_sem\NLP\nlp_proj\src\Rag_service\data\Bioinformatics Event.pdf,C:\Users\sandesh lavshetty\OneDrive\Desktop\clg\iiitn_1st_yr\5th_sem\NLP\nlp_proj\src\Rag_service\data\Bioinformatics Event.pdf,2,●  Duration :  30–45  minutes    ●  Platform :  Unstop.    ●  Selection :  Top  10–12  teams  qualify  for  Round  2.     Round  2:   ●  Task :  Teams  compete  live  on  organizer  questions  and  pe
3,C:\Users\sandesh lavshetty\OneDrive\Desktop\clg\iiitn_1st_yr\5th_sem\NLP\nlp_proj\src\Rag_service\data\Bioinformatics Event.pdf,C:\Users\sandesh lavshetty\OneDrive\Desktop\clg\iiitn_1st_yr\5th_sem\NLP\nlp_proj\src\Rag_service\data\Bioinformatics Event.pdf,3,every   30-minute   interval.    ●  Judging  Criteria :    ○  Initial  Points  (S ₀ ) :  100  points  for  every  team.    ○  Floor :  Scores  never  drop  below  0  (no  negative  scores).    ○  Orga
4,C:\Users\sandesh lavshetty\OneDrive\Desktop\clg\iiitn_1st_yr\5th_sem\NLP\nlp_proj\src\Rag_service\data\Bioinformatics Event.pdf,C:\Users\sandesh lavshetty\OneDrive\Desktop\clg\iiitn_1st_yr\5th_sem\NLP\nlp_proj\src\Rag_service\data\Bioinformatics Event.pdf,4,"■  Each  broadcast  must  include  an  answer  key/verifier.    ■  Invalid  or  ambiguous  broadcasts  are  voided  (no  penalties,  no  points).    ○  Anti-spam  Attempts :  Only  graded  submissions"
5,C:\Users\sandesh lavshetty\OneDrive\Desktop\clg\iiitn_1st_yr\5th_sem\NLP\nlp_proj\src\Rag_service\data\Bioinformatics Event.pdf,C:\Users\sandesh lavshetty\OneDrive\Desktop\clg\iiitn_1st_yr\5th_sem\NLP\nlp_proj\src\Rag_service\data\Bioinformatics Event.pdf,5,○  Trained  Model/Predictions  File    ●  Time :  12  hours    ●  Presentation :  Each  team  gets  10–15  minutes  to  present  their  work  to  judges.    ●  Judging  Criteria :    ○  Model  Perform
6,C:\Users\sandesh lavshetty\OneDrive\Desktop\clg\iiitn_1st_yr\5th_sem\NLP\nlp_proj\src\Rag_service\data\Bioinformatics Event.pdf,C:\Users\sandesh lavshetty\OneDrive\Desktop\clg\iiitn_1st_yr\5th_sem\NLP\nlp_proj\src\Rag_service\data\Bioinformatics Event.pdf,6,1.  Create  a  synthetic  DNA  sequence  dataset  with  missing  base-pairs  and  noise.  Teams   must   clean   and   reconstruct   the   dataset   to   restore   sequence   accuracy.    2.  Provide 
7,C:\Users\sandesh lavshetty\OneDrive\Desktop\clg\iiitn_1st_yr\5th_sem\NLP\nlp_proj\src\Rag_service\data\Bioinformatics Event.pdf,C:\Users\sandesh lavshetty\OneDrive\Desktop\clg\iiitn_1st_yr\5th_sem\NLP\nlp_proj\src\Rag_service\data\Bioinformatics Event.pdf,7,"clusters   among   the   patients,   visualise   the   results   and   interpret   the   biological   significance   of   clusters.   Constraints :   ●  Dataset  size  will  be  moderately  high-dimen"
8,C:\Users\sandesh lavshetty\OneDrive\Desktop\clg\iiitn_1st_yr\5th_sem\NLP\nlp_proj\src\Rag_service\data\Bioinformatics Event.pdf,C:\Users\sandesh lavshetty\OneDrive\Desktop\clg\iiitn_1st_yr\5th_sem\NLP\nlp_proj\src\Rag_service\data\Bioinformatics Event.pdf,8,"properties,   and   functional   classes,   teams   must   build   a   machine   learning   model   to   classify   proteins   into   their   respective   functional   categories.   Challenge :   ●  P"
9,C:\Users\sandesh lavshetty\OneDrive\Desktop\clg\iiitn_1st_yr\5th_sem\NLP\nlp_proj\src\Rag_service\data\Bioinformatics Event.pdf,C:\Users\sandesh lavshetty\OneDrive\Desktop\clg\iiitn_1st_yr\5th_sem\NLP\nlp_proj\src\Rag_service\data\Bioinformatics Event.pdf,9,●  Compare  their  performance  on  the  test  set.    ●  Use  feature  importance/analysis  to  explain  which  properties  drive  classification.    ●  Present  a  confusion  matrix  and  classifica
10,C:\Users\sandesh lavshetty\OneDrive\Desktop\clg\iiitn_1st_yr\5th_sem\NLP\nlp_proj\src\Rag_service\data\Bioinformatics Event.pdf,C:\Users\sandesh lavshetty\OneDrive\Desktop\clg\iiitn_1st_yr\5th_sem\NLP\nlp_proj\src\Rag_service\data\Bioinformatics Event.pdf,10,"machine   learning.   Given   gene   expression   levels   of   two   genes   and   their   correlation   with   cancer   presence,   teams   must   build   models   that   can   predict   whether   a"
11,C:\Users\sandesh lavshetty\OneDrive\Desktop\clg\iiitn_1st_yr\5th_sem\NLP\nlp_proj\src\Rag_service\data\Bioinformatics Event.pdf,C:\Users\sandesh lavshetty\OneDrive\Desktop\clg\iiitn_1st_yr\5th_sem\NLP\nlp_proj\src\Rag_service\data\Bioinformatics Event.pdf,11,●  Must  use  at  least  two  distinct  ML  algorithms.    ●  Models  should  be  trained  on  80%  training  data  and  tested  on  20%  unseen  data.    ●  Maximum  runtime  for  model  training:  3
